1	0	0
1	1	5
1	2	18
1	3	67
1	4	188
1	5	457
1	6	786
1	7	923
1	8	774
1	9	436
1	10	214
1	11	67
1	12	46
1	13	108
1	14	233
1	15	395
1	16	585
1	17	630
1	18	628
1	19	401
1	20	252
1	21	92
1	22	32
1	23	7
2	0	0
2	1	6
2	2	11
2	3	71
2	4	207
2	5	446
2	6	796
2	7	939
2	8	804
2	9	452
2	10	214
2	11	92
2	12	51
2	13	104
2	14	242
2	15	425
2	16	660
2	17	674
2	18	625
2	19	426
2	20	252
2	21	99
2	22	38
2	23	13
3	0	0
3	1	7
3	2	11
3	3	51
3	4	214
3	5	502
3	6	791
3	7	891
3	8	735
3	9	463
3	10	205
3	11	80
3	12	47
3	13	98
3	14	241
3	15	423
3	16	613
3	17	677
3	18	588
3	19	439
3	20	226
3	21	117
3	22	38
3	23	9
4	0	0
4	1	3
4	2	19
4	3	70
4	4	189
4	5	477
4	6	799
4	7	964
4	8	754
4	9	513
4	10	205
4	11	82
4	12	37
4	13	104
4	14	206
4	15	434
4	16	620
4	17	714
4	18	607
4	19	463
4	20	238
4	21	100
4	22	35
4	23	7
5	0	2
5	1	4
5	2	15
5	3	66
5	4	215
5	5	492
5	6	850
5	7	946
5	8	768
5	9	447
5	10	202
5	11	78
5	12	56
5	13	98
5	14	249
5	15	417
5	16	628
5	17	666
5	18	639
5	19	406
5	20	210
5	21	107
5	22	28
5	23	7
6	0	0
6	1	5
6	2	8
6	3	63
6	4	226
6	5	472
6	6	797
6	7	961
6	8	792
6	9	424
6	10	219
6	11	75
6	12	55
6	13	101
6	14	242
6	15	451
6	16	588
6	17	684
6	18	653
6	19	398
6	20	228
6	21	111
6	22	42
6	23	6
7	0	0
7	1	10
7	2	15
7	3	74
7	4	218
7	5	502
7	6	770
7	7	932
7	8	775
7	9	483
7	10	220
7	11	85
7	12	38
7	13	89
7	14	231
7	15	435
7	16	593
7	17	713
7	18	598
7	19	425
7	20	236
7	21	104
7	22	36
7	23	9
